word,X1,X2,X3,X4,X5
soul,0,0.02564102564102564,0.029411764705882353,0,0.015151515151515152
spa,0,0,0,0,0.045454545454545456
space,0,0.02564102564102564,0.00980392156862745,0.016666666666666666,0
spending,0,0,0,0,0.015151515151515152
spirit,0,0,0.00980392156862745,0,0
started,0.01639344262295082,0,0,0,0
statements,0,0.02564102564102564,0,0,0
strangers,0,0,0,0.016666666666666666,0
stress,0,0,0.00980392156862745,0,0
stressful,0,0,0,0.016666666666666666,0
switch,0,0,0,0,0.015151515151515152
talk,0,0,0.00980392156862745,0.016666666666666666,0
tells,0.01639344262295082,0,0,0,0
terms,0,0,0,0,0.015151515151515152
thought,0.03278688524590164,0,0,0,0
time,0,0,0.00980392156862745,0.05,0.045454545454545456
tired,0,0,0,0.016666666666666666,0
translates,0.01639344262295082,0,0,0,0
turn,0,0.02564102564102564,0,0,0
untouched,0,0,0,0,0.015151515151515152
urban,0,0,0,0,0.015151515151515152
vigor,0,0,0,0.016666666666666666,0
volunteers,0.01639344262295082,0,0,0,0
walk,0,0,0.0196078431372549,0,0
warm,0,0,0.00980392156862745,0,0
weeding,0.01639344262295082,0,0,0,0
week,0,0,0.00980392156862745,0.03333333333333333,0
weekend,0,0,0,0.016666666666666666,0
weeks,0,0,0,0.016666666666666666,0
weird,0.01639344262295082,0,0,0,0
work,0.01639344262295082,0,0,0.016666666666666666,0.015151515151515152
works,0,0,0,0.016666666666666666,0
world,0,0,0.00980392156862745,0.03333333333333333,0
wrong,0.01639344262295082,0.02564102564102564,0,0,0
years,0.01639344262295082,0,0,0,0
you,0,0,0.0196078431372549,0,0
